"","Sample_1","Sample_2"
"memory.B.cells",0.125474944057753,0.0721011833308564
"naive.B.cells",0.145859491671783,0.138665106826305
"memory.CD4.T.cells",0.196207716894681,0.176457029951721
"naive.CD4.T.cells",0.101451485325692,0.115091362058503
"regulatory.T.cells",0.0376165732796526,0.0580151815019477
"memory.CD8.T.cells",0.0820186245269355,0.0548934376529131
"naive.CD8.T.cells",0.0282401513096551,-0.00500615193994581
"NK.cells",0.0400782234299241,0.0464635269670312
"neutrophils",0.112686587369957,0.116577437456931
"monocytes",-0.0206236752459919,0.00714755867267107
"myeloid.dendritic.cells",0.0498252850971034,0.0658293719429775
"macrophages",0.20976358446132,0.230940685578206
"fibroblasts",0.122453816592088,0.12388015785598
"endothelial.cells",0.19206419268053,0.183292376377571
